Model,Accuracy,Precision,Recall,F1
Gradient Boosting,0.9988538994706108,0.998855295009725,0.9988538994706108,0.9988534077059448
Random Forest,0.9822627299023086,0.9826240548039632,0.9822627299023086,0.9822019800934492
XGBoost,0.7060525023194891,0.7208772791043584,0.7060525023194891,0.6858005903285209
HistGradientBoosting,0.6987392894176718,0.715138479973148,0.6987392894176718,0.6763137073836564
MLP,0.6376685040659281,0.640466757094247,0.6376685040659281,0.6010495050611111
